run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
3,cpp,6,70,10000,70,70,700000,700000,2.086658727798571,2.228364423499989,1.7862550266000035,0,1460661.1094589997,100.0
3,cpp,6,80,1,80,80,80,80,1.432606075,7.867368,0.159465,0,114.608486,100.0
3,cpp,6,80,10,80,80,800,800,1.56815575375,3.8891093000000003,0.2105588,0,1254.524603,100.0
3,cpp,6,80,100,80,80,8000,8000,2.887528265375,3.4269549600000015,1.92547335,0,23100.226123,100.0
3,cpp,6,80,500,80,80,40000,40000,3.6366948828749996,3.9790748639999993,2.7167754259999977,0,145467.795315,100.0
3,cpp,6,80,1000,80,80,80000,80000,2.7942093600124998,2.9887240429999937,2.5001907250000017,0,223536.74880099998,100.0
3,cpp,6,80,10000,80,80,800000,800000,2.2846770117187503,2.5234918011000054,1.8370194534999886,0,1827741.6093750002,100.0
3,cpp,6,90,1,90,90,90,90,2.3935487,15.102415,0.19926,0,215.419383,100.0
3,cpp,6,90,10,90,90,900,900,1.8237327733333333,3.4272426999999994,0.27008099999999996,0,1641.359496,100.0
3,cpp,6,90,100,90,90,9000,9000,2.714321178,3.4694344099999985,1.44945381,0,24428.890602,100.0
3,cpp,6,90,500,90,90,45000,45000,2.7736264594888884,3.2291832220000027,1.8301224819999977,0,124813.19067699999,100.0
3,cpp,6,90,1000,90,90,90000,90000,2.7109251142222224,2.9148805539999976,2.130577606000001,0,243983.26028000002,100.0
3,cpp,6,90,10000,90,90,900000,900000,2.5991066184177787,2.851508589299996,1.8369334313999945,0,2339195.956576001,100.0
3,cpp,6,100,1,100,100,100,100,1.3837294199999999,8.983331,0.134212,0,138.372942,100.0
3,cpp,6,100,10,100,100,1000,1000,2.1107746929999998,3.7190078,0.5073413999999999,0,2110.774693,100.0
3,cpp,6,100,100,100,100,10000,10000,2.8315734065,5.01272443,1.42033271,0,28315.734064999997,100.0
3,cpp,6,100,500,100,100,50000,50000,3.1283014253799997,3.5236253400000033,2.096541395999999,0,156415.07126899998,100.0
3,cpp,6,100,1000,100,100,100000,100000,2.46754575441,2.875547090000003,1.7893192459999998,0,246754.57544100002,100.0
3,cpp,6,100,10000,100,100,1000000,1000000,2.83687523635,3.0448242009999933,2.2714481926999914,0,2836875.23635,100.0
3,cpp,8,10,1,10,10,10,10,0.8255015,3.497252,0.193281,0,8.255015,100.0
3,cpp,8,10,10,10,10,100,100,0.45660366,0.5784814,0.3096663,0,45.660366,100.0
3,cpp,8,10,100,10,10,1000,1000,0.499052321,0.5902653399999999,0.25521684000000006,0,499.052321,100.0
3,cpp,8,10,500,10,10,5000,5000,0.4260964712,0.5031239979999997,0.32483752200000016,0,2130.4823559999995,100.0
3,cpp,8,10,1000,10,10,10000,10000,0.4337298384999998,0.49072415999999947,0.3090931519999997,0,4337.298384999998,100.0
3,cpp,8,10,10000,10,10,100000,100000,0.39850059469,0.45546503160000057,0.2901428886999988,0,39850.059469,100.0
3,cpp,8,20,1,20,20,20,20,0.90331975,2.024093,0.204375,0,18.066395,100.0
3,cpp,8,20,10,20,20,200,200,0.8737091749999999,1.4716799999999999,0.28226920000000005,0,174.74183499999998,100.0
3,cpp,8,20,100,20,20,2000,2000,0.6792422590000001,0.79515055,0.37866795000000003,0,1358.4845180000002,100.0
3,cpp,8,20,500,20,20,10000,10000,0.7451188381999999,0.8720619019999994,0.5011579480000004,0,7451.1883819999985,100.0
3,cpp,8,20,1000,20,20,20000,20000,0.7728502302000002,0.9525112679999996,0.22074411199999983,0,15457.004604000003,100.0
