run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
7,go,6,80,10,80,80,800,800,1.17594597375,1.9398125999999998,0.1891002,0,940.7567789999999,100.0,go
7,go,6,80,100,80,80,8000,8000,1.141116295625,1.328845660000001,0.7733827499999998,0,9128.930365,100.0,go
7,go,6,80,500,80,80,40000,40000,1.1893635931,1.2493408040000011,1.0598847719999998,0,47574.543723999996,100.0,go
7,go,6,80,1000,80,80,80000,80000,1.1712420900125002,1.231249248000002,0.9745129400000008,0,93699.36720100002,100.0,go
7,go,6,80,10000,80,80,800000,800000,1.1516536085162499,1.1894714347999995,1.017605735200001,0,921322.8868129997,100.0,go
7,go,6,90,1,90,90,90,90,0.8664323222222222,5.603005,0.094052,0,77.978909,100.0,go
7,go,6,90,10,90,90,900,900,1.4228239555555555,2.3096819,0.7473458,0,1280.54156,100.0,go
7,go,6,90,100,90,90,9000,9000,1.2089394926666666,1.38759474,0.9155445100000005,0,10880.455434,100.0,go
7,go,6,90,500,90,90,45000,45000,1.3568990833555554,1.4173801859999988,1.2260337439999995,0,61060.458751,100.0,go
7,go,6,90,1000,90,90,90000,90000,1.2352774488666667,1.3300234220000018,1.0178725979999999,0,111174.970398,100.0,go
7,go,6,90,10000,90,90,900000,900000,1.2715673649077779,1.3026140504000014,1.2219817918000004,0,1144410.6284170002,100.0,go
7,go,6,100,1,100,100,100,100,3.01932957,7.220956,0.146666,0,301.932957,100.0,go
7,go,6,100,10,100,100,1000,1000,1.533028788,2.3079244,0.6253904,0,1533.028788,100.0,go
7,go,6,100,100,100,100,10000,10000,1.2842459569,1.4974241500000003,0.8888933,0,12842.459569,100.0,go
7,go,6,100,500,100,100,50000,50000,1.30584395718,1.4367366140000013,0.9960345059999995,0,65292.197859,100.0,go
7,go,6,100,1000,100,100,100000,100000,1.4063245098900001,1.469935539999999,1.2849752699999983,0,140632.450989,100.0,go
7,go,6,100,10000,100,100,1000000,1000000,1.3614830679009997,1.397131935399994,1.258508903200005,0,1361483.067901,100.0,go
7,go,8,10,1,10,10,10,10,0.6531005000000001,1.280856,0.14522,0,6.531005,100.0,go
7,go,8,10,10,10,10,100,100,0.24228102,0.3120504,0.1471646,0,24.228102,100.0,go
7,go,8,10,100,10,10,1000,1000,0.250399342,0.26827046000000015,0.2291529300000001,0,250.399342,100.0,go
7,go,8,10,500,10,10,5000,5000,0.23518340979999994,0.24765320000000016,0.20865623000000016,0,1175.917049,100.0,go
7,go,8,10,1000,10,10,10000,10000,0.22930919439999994,0.2354188949999997,0.208731382,0,2293.0919439999993,100.0,go
7,go,8,10,10000,10,10,100000,100000,0.24155386467000045,0.24468344190000244,0.23282725040000027,0,24155.386467000048,100.0,go
7,go,8,20,1,20,20,20,20,0.5690522,1.393282,0.191025,0,11.381044,100.0,go
7,go,8,20,10,20,20,200,200,0.39777304999999996,0.5353857000000001,0.24990569999999995,0,79.55461,100.0,go
7,go,8,20,100,20,20,2000,2000,0.4061008385,0.4520649499999999,0.32054544,0,812.2016769999999,100.0,go
7,go,8,20,500,20,20,10000,10000,0.4138919982,0.4326492499999999,0.35940029600000006,0,4138.919982,100.0,go
7,go,8,20,1000,20,20,20000,20000,0.3808725583500001,0.4048256380000001,0.3314311299999998,0,7617.451167000002,100.0,go
7,go,8,20,10000,20,20,200000,200000,0.3970881794949997,0.41558022879999973,0.3600071996999999,0,79417.63589899994,100.0,go
7,go,8,30,1,30,30,30,30,0.7898506666666666,2.191885,0.117775,0,23.69552,100.0,go
7,go,8,30,10,30,30,300,300,0.89084607,1.1394840999999998,0.39044670000000004,0,267.253821,100.0,go
7,go,8,30,100,30,30,3000,3000,0.5432128773333333,0.6071296299999999,0.39256845000000007,0,1629.638632,100.0,go
7,go,8,30,500,30,30,15000,15000,0.5243111424666667,0.563759312,0.44164622200000014,0,7864.6671369999995,100.0,go
7,go,8,30,1000,30,30,30000,30000,0.5189084273666666,0.5539584090000007,0.3733282599999999,0,15567.252821,100.0,go
7,go,8,30,10000,30,30,300000,300000,0.5535199964899994,0.5765297209999987,0.44873529910000143,0,166055.9989469998,100.0,go
7,go,8,40,1,40,40,40,40,1.6891060750000002,4.507872,0.13145,0,67.564243,100.0,go
7,go,8,40,10,40,40,400,400,0.8439527725,1.3766802999999999,0.3142838,0,337.581109,100.0,go
7,go,8,40,100,40,40,4000,4000,0.67797250675,0.7603831300000001,0.5437755499999998,0,2711.890027,100.0,go
7,go,8,40,500,40,40,20000,20000,0.7064040277000001,0.7649326799999999,0.5561070200000006,0,14128.080554000002,100.0,go
7,go,8,40,1000,40,40,40000,40000,0.7113596170500001,0.7431238630000004,0.6492919650000001,0,28454.384682000004,100.0,go
7,go,8,40,10000,40,40,400000,400000,0.7078564666275,0.7331570123999988,0.5274430344999997,0,283142.586651,100.0,go
7,go,8,50,1,50,50,50,50,1.18391924,3.32119,0.129952,0,59.195962,100.0,go
7,go,8,50,10,50,50,500,500,1.135383386,1.7231568000000004,0.41707,0,567.691693,100.0,go
7,go,8,50,100,50,50,5000,5000,0.8296963506,0.9463702000000002,0.52599645,0,4148.481753,100.0,go
7,go,8,50,500,50,50,25000,25000,0.8596380684,0.9103467419999991,0.5936768000000007,0,21490.95171,100.0,go
7,go,8,50,1000,50,50,50000,50000,0.78747619898,0.8447158959999996,0.6630193599999994,0,39373.809949,100.0,go
7,go,8,50,10000,50,50,500000,500000,0.880498992972,0.9079094729000031,0.8159552890999978,0,440249.49648599996,100.0,go
7,go,8,60,1,60,60,60,60,1.1776394666666665,5.601568,0.129969,0,70.658368,100.0,go
7,go,8,60,10,60,60,600,600,1.0835560383333334,1.6282998999999996,0.29439350000000003,0,650.133623,100.0,go
7,go,8,60,100,60,60,6000,6000,1.3083836435000002,1.5300844199999997,0.7520112799999998,0,7850.301861000001,100.0,go
7,go,8,60,500,60,60,30000,30000,0.9158248802000002,0.9779359980000001,0.7299490540000005,0,27474.746406000002,100.0,go
7,go,8,60,1000,60,60,60000,60000,0.9796771659333334,1.0419633729999986,0.8350739609999984,0,58780.629956000004,100.0,go
7,go,8,60,10000,60,60,600000,600000,0.9827881444300004,1.022511349999995,0.8052178388999992,0,589672.8866580003,100.0,go
7,go,8,70,1,70,70,70,70,2.0843936714285713,6.894262,0.078198,0,145.907557,100.0,go
7,go,8,70,10,70,70,700,700,1.1813396757142856,1.9197910999999999,0.2220277,0,826.937773,100.0,go
